store_number,address,city,state,zip
6333,15800 Imperial Highway,La Mirada,CA,90638
6288,959 Crenshaw Boulevard,Los Angeles,CA,90019
5471,1208 West Redondo Beach Blvd,Gardena,CA,90247
5480,23 Peninsula Center,Palos Verdes Peninsula,CA,90274
6235,3860 Sepulveda Boulevard,Torrance,CA,90505
5451,3230 West Slauson Avenue,Los Angeles,CA,90043
5457,4046 South Centinela Avenue,Los Angeles,CA,90066
5610,1528 East Amar Road,West Covina,CA,91792
5531,914 Fair Oaks Avenue,South Pasadena,CA,91030
5494,8508 Painter Avenue,Whittier,CA,90602
5552,13803 Foothill Blvd,Sylmar,CA,91342
5489,1808 Wilshire Boulevard,Santa Monica,CA,90403
5561,21949 Ventura Boulevard,Woodland Hills,CA,91364
6346,211 Cherry Avenue,Long Beach,CA,90802
5844,37950 47th St E,Palmdale,CA,93552
5441,9864 National Boulevard,Los Angeles,CA,90034
5545,10120 Mason Avenue,Chatsworth,CA,91311
6219,5128 East 2nd Street,Long Beach,CA,90803
5571,935 North Hollywood Way,Burbank,CA,91505
5452,7900 West Sunset Boulevard,Los Angeles,CA,90046
5461,463 North Bedford Drive,Beverly Hills,CA,90210
6338,2059 South Garey Avenue,Pomona,CA,91766
5538,2647 West Foothill Boulevard,La Crescenta,CA,91214
5611,920 East Valley Boulevard,Alhambra,CA,91801
5548,18444 Plummer Street,Northridge,CA,91325
6400,3105 Rancho Vista Boulevard,Palmdale,CA,93551
5569,13333 Riverside Drive,Sherman Oaks,CA,91423
5597,2150 South Atlantic Boulevard,Monterey Park,CA,91754
5555,26825 Bouquet Canyon Road,Santa Clarita,CA,91350
6263,27716 West Mcbean Parkway,Valencia,CA,91354
5585,139 North Grand Avenue,Covina,CA,91724
5573,10989 Ventura Boulevard,Studio City,CA,91604
5840,1356 West Avenue J,Lancaster,CA,93534
6313,107 South Long Beach Blvd,Compton,CA,90221
5516,108 West Anaheim Street,Wilmington,CA,90744
6344,1421 East Washington Blvd,Pasadena,CA,91104
5482,1720 Aviation Boulevard,Redondo Beach,CA,90278
5606,8914 Valley Boulevard,Rosemead,CA,91770
6327,4710 Commons Way,Calabasas,CA,91302
5525,4525 E Pacific Coast Highway,Long Beach,CA,90804
5609,9450 East Las Tunas Drive,Temple City,CA,91780
5423,1534 East Florence Avenue,Los Angeles,CA,90001
5519,5670 East 2nd Street,Long Beach,CA,90803
